osm_id,latitude,longitude,name,shop_type,amenity,opening_hours
8817263717,-0.0755503,34.7089485,Bandani market,,marketplace,
8817300117,-0.08073,34.7078633,Kotetni market,,marketplace,
8817449264,-0.0829874,34.7768021,Renee Collection,boutique,,
8817517530,-0.0833061,34.7753706,Handshake Wines and Spirits,alcohol,,
8817685608,-0.0835894,34.7751816,,kiosk,,
8817709342,-0.0835182,34.7747302,Nildeep Hardware Limited,hardware,,
8817734979,-0.0841454,34.7746317,Aswanson Super Duka,wholesale,,
8820769660,-0.0850551,34.7748571,Josato Butchery,butcher,,
8820803086,-0.0816223,34.7712751,Smiles Hair salon,hairdresser,,
8820816012,-0.0813617,34.7713264,Mama Velma Salon,hairdresser,,
8820816082,-0.0815694,34.7712899,Nyawita Dairy Shop,dairy,,
8820816309,-0.0814791,34.7712572,Denis Shop,kiosk,,
8820820649,-0.0809901,34.7713845,Signet Shop,kiosk,,
8820820650,-0.0807646,34.7714825,Juwey Fashions,boutique,,
8820825354,-0.0811011,34.7714351,Mama Juliet Shop,kiosk,,
8820841549,-0.0807136,34.7714482,Shalom Tailoring Shop,tailor,,
8820855657,-0.0805837,34.7717521,Kananga Everfresh Butchery,butcher,,
8820860534,-0.07818,34.7700283,Mama Victor Cosmetics,cosmetics,,
8820860606,-0.078825,34.7684933,Mama Grace Salon,hairdresser,,
8820861136,-0.0802638,34.7716231,Paseph Movie Shop,video,,
8820863014,-0.0803633,34.7663283,Obunga Kinyozi,hairdresser,,
8820869587,-0.0786817,34.769495,Covenant Salon,hairdresser,,
8820886815,-0.0800864,34.7667771,NEEMA Dairy Shop,dairy,,
8820899854,-0.0799517,34.7670517,Butchery,butcher,,
8820906519,-0.0799407,34.7671994,Segasega Timberyard,trade,,
8820906538,-0.0803643,34.76621,Imani Meat Butchery,butcher,,
8823995282,-0.0808214,34.7664914,Juba General shop,kiosk,,
8824025979,-0.0815633,34.7652117,Three Star Butchery,butcher,,
8824028730,-0.0812517,34.7654833,Edu Shop,kiosk,,
8824029560,-0.0809141,34.7663913,Holos Wines and Spitits,alcohol,,
8824045135,-0.0816067,34.76536,Vertican Kinyozi,hardware,,
8824050876,-0.081095,34.7645133,Riverside Shop,kiosk,,
8824052507,-0.0812533,34.7648867,Baba Nelfa Shop,kiosk,,
8824052508,-0.0809,34.7643833,Mama Manu Shop,kiosk,,
8824061915,-0.0815383,34.7650583,Joy Butchery,butcher,,
8824065764,-0.0808517,34.7641183,Qaran Technologies,electronics,,
8824066818,-0.0812117,34.7648917,Kuku Shop,butcher,,
8824073827,-0.080635,34.764155,Grocery Stall,greengrocer,,
8824095656,-0.079965,34.76328,Kajaloka Shop,kiosk,,
8824115284,-0.0799517,34.764215,Mercy Cereals,greengrocer,,
8824117358,-0.0800917,34.7635417,Jaseme Shop,kiosk,,
8987955679,-0.0975554,34.7785944,Manyatta Market,,marketplace,
9126367969,-0.1043701,34.7519231,,greengrocer,,
9126374353,-0.1042736,34.7518879,Drink and smile,water,,
9443804417,-0.1110779,34.7693277,Queen Soap,chemist,,Mo-Su 09:00-18:00
9443804418,-0.0929863,34.7804744,Kona Mbaya Shop,tailor,,"Mo-Fr,Su 08:00-18:00"
9443804425,-0.0659193,34.7047465,Mama Brax Shop,chemist,,Mo-Fr 09:00-18:00
9443804428,-0.0828926,34.7719115,Markmos,tailor,,Mo-Sa 08:00-18:00
9443804432,-0.0996851,34.8460804,Jared Auma Tailoring,tailor,,Mo-Su 08:00-18:00
9443804433,-0.0607118,34.7806643,Emily Tailoring Shop,tailor,,Mo-Sa 09:00-17:00
9443804444,-0.1009514,34.7690236,Sharon,chemist,,"Mo-Fr,Su 08:00-18:00"
9443804446,-0.0751447,34.7813578,Cynthia Atieno,chemist,,Mo-Fr 08:00-18:00
9443804454,-0.1120921,34.7666937,Sandra's Tailoring Shop,tailor,,Mo-Su 08:00-17:00
9443804455,-0.0808292,34.7731828,Moni Fashions,tailor,,Mo-Sa
9443804459,-0.0931354,34.7806727,Caroline Tailor Shop,tailor,,"Mo-Fr,Su 07:00-18:00"
9443804462,-0.1227859,34.753216,Nelly's House,chemist,,"Mo-Fr,Su 09:00-18:00"
9443804464,-0.124795,34.753025,Mama Serena,tailor,,"Mo-Fr,Su"
9443804468,-0.0817252,34.7713598,Grace Tailoring,tailor,,Mo-Sa 08:00-17:00
9443804470,-0.1183712,34.7602091,Vincent's Shop,chemist,,Mo-Su 09:00-16:00
9443804472,-0.1114307,34.7677688,Jay Kaunda Tailoring,tailor,,Mo-Sa 07:00-18:00
9443804474,-0.0773239,34.7779143,Capeneser Tailoring Shop,tailor,,Mo-Fr
9443804487,-0.082992,34.8002358,Andrew Ater,chemist,,Mo-Su 08:00-18:00
9443804490,-0.1541523,34.8342176,Shironkoh Tailoring,tailor,,Mo-Sa 08:00-18:00
9443804492,-0.0713507,34.781385,Dennis,chemist,,Mo-Su
9443804494,-0.167128,34.7928086,Ka Elijah Tailoring Shop,tailor,,Mo-Fr 08:00-21:00
9443804498,-0.0954574,34.7527257,Suprima Industries,chemist,,Mo-Fr 08:00-18:00
9443804501,-0.0713541,34.7813615,Vincent,tailor,,Mo-Su
9443804517,-0.0713655,34.781385,Mironga,chemist,,Mo-Su
9443804519,-0.0704857,34.8113723,Yvonne,chemist,,Mo-Su 07:00-20:00
9443804521,-0.0545839,34.7920343,Carruthers East Africa,chemist,,Mo-Fr 08:00-17:00
9443804527,-0.1559466,34.8631094,Mama Faith Tailoring,tailor,,"Mo-Fr,Su 10:00-18:00"
9443804534,-0.0991191,34.7810955,Angela Designs,tailor,,"Mo-Fr,Su 09:00-19:00"
9443804537,-0.0976701,34.777944,Lord General Shop,chemist,,Mo-Sa 08:00-19:00
9443804539,-0.1118395,34.7670215,Abdul,tailor,,Mo-Su 07:00-18:00
9443804544,-0.0515109,34.7784949,Linda's Tailoring,tailor,,Mo-Sa 07:00-18:00
9443804549,-0.1186567,34.7599544,Elias,chemist,,Mo-Sa 10:00-18:00
9443804558,-0.0991249,34.8466506,KA Nyaugenya Tailoring,tailor,,Mo-Su 09:00-18:00
9443804560,-0.1440371,34.7369734,Edna Tailoring Point,tailor,,Mo-Sa 10:00-17:00
9446338296,-0.1002197,34.8705835,Nyamalo Tailoring Shop,tailor,,Mo-Sa 08:00-18:00
9446338297,-0.0786553,34.6899885,Ma' Junior Tailoring,tailor,,Mo-Sa 08:00-18:00
9446338301,-0.1123071,34.7663691,Policap Printer,copyshop,,"Mo-Th,Su"
9446338303,-0.07744,34.730025,Ka Nyauyoma Tailoring,tailor,,Mo-Sa 08:00-19:00
9446338304,-0.083015,34.8002048,Naomi Achieng,chemist,,Mo-Su 08:00-18:00
9446338307,-0.1118617,34.7681541,Oyua Tailoring Shop,tailor,,Mo-Sa 08:00-19:00
9446338308,-0.0977,34.7780124,Rose Tailoring Shop,tailor,,"Mo-Fr,Su 08:00-18:00"
9446338310,-0.0762646,34.725383,Ras Metal Work,tailor,,Mo-Sa 07:00-18:00
9446338311,-0.0997215,34.7649186,Mama Lucy Tailoring,tailor,,"Mo-Fr,Su"
9446395018,-0.0713507,34.781385,Even Fashion And Design Shop,tailor,,Mo-Su 08:00-19:00
9446395020,-0.1357588,34.7415501,Kitenge Place,tailor,,Mo-Sa
9446395025,-0.0772688,34.7779309,Carter's Shaop,chemist,,Mo-Fr
9446395026,-0.0828786,34.770735,Otom Investments,chemist,,"Mo,We,Fr"
9446395031,-0.0755421,34.7086556,Deborah Ouma Odindo Shop,chemist,,Mo-Su 08:00-17:00
9446395037,-0.0980526,34.7783358,Glorious Vision,tailor,,Mo-Sa 07:00-18:00
9446395043,-0.0743337,34.6839395,Mix Tailoring Shop,tailor,,Mo-Sa 09:00-18:00
9446395051,-0.1442959,34.7366659,Arosy Workshop,tailor,,Mo-Sa 10:00-18:00
9446395052,-0.0832634,34.7735843,Osuma Dressmaking,tailor,,Mo-Sa 08:00-17:00
9446395055,-0.1567358,34.8623536,Bernard Fabrication,tailor,,Mo-Sa 08:00-17:00
9446395063,-0.0595106,34.7853438,Waltithez,tailor,,Mo-Sa 08:00-18:00
9446395068,-0.0959942,34.7574925,Opuk Jakinda,tailor,,"Mo-Fr,Su 07:00-18:00"
9446395069,-0.0976126,34.7794847,Mama Jim Tailoring Shop,tailor,,Mo-Fr 09:00-18:00
9446395073,-0.0463138,34.7654454,Mama Vini Tailoring,tailor,,Mo-Sa 08:00-18:00
9446395079,-0.0768821,34.7929743,Unique Advanced Tec,tailor,,Mo-Sa 07:00-18:00
9446395085,-0.0925102,34.7800267,Mama Blessing Shop,tailor,,Mo-Sa 09:00-19:00
9446395094,-0.0907746,34.78157,Olenyo Shop,chemist,,sunrise-sunset
9446395095,-0.0751677,34.7080056,KCB Mpesa Shop,chemist,,Mo-Sa 08:00-17:00
9446395097,-0.0976161,34.7535662,Riat Tailoring Shop,tailor,,Mo-Su 08:00-18:00
9446395100,-0.0960467,34.7548593,Dan Tailor Shop,tailor,,Mo-Su 07:00-19:00
9446395107,-0.1357592,34.7415489,N/a,tailor,,Mo-Fr 10:00-18:00
9446395108,-0.0980161,34.7734851,Narudi Fabrics,tailor,,Mo-Sa 08:00-19:00
9446395109,-0.0742949,34.7888233,No Name Yet,tailor,,Mo-Sa 08:00-18:00
9446395110,-0.1161584,34.7610553,Pacho Tailor,copyshop,,"Mo-Fr,Su"
9446395111,-0.0575647,34.7778481,Steven Otis,tailor,,"Mo-Fr,Su 08:00-18:00"
9446395117,-0.0990553,34.7697439,Babby,chemist,,Mo-We 08:00-12:00
9446395120,-0.0881406,34.7792077,Zeph Tailoring,tailor,,Mo-Sa 08:00-18:00
9446395122,-0.058781,34.7759922,Atinda Fashion And Design,tailor,,Mo-Su 06:00-18:00
9446395128,-0.0969937,34.7798907,Dennis,tailor,,Mo-Su 08:00-19:00
9446395129,-0.097343,34.7790099,Fundi Manyatta Shop,tailor,,Mo-Sa
9446395130,-0.0827604,34.7708349,No Name Yet,chemist,,"Mo,Tu,Th,Fr"
9446395134,-0.0252688,34.7474616,Elizabeth Tailoring Shop,tailor,,Mo-Sa 08:00-18:00
9446395135,-0.1285161,34.7471476,Her House,chemist,,Mo-Fr
9446395137,-0.1105393,34.768776,Esther's Shop,tailor,,Mo-Sa 09:00-21:00
9446395139,-0.1005645,34.8699735,Ka Min Michael Tailoring,tailor,,Mo-Fr 08:00-19:00
9462604704,-0.0895694,34.7760295,Eric Welding Shop,chemist,,Mo-Su 08:00-19:00
9462604705,-0.1233335,34.7515786,Caroline Tailoring Shop,tailor,,Mo-Sa
9462604706,-0.090891,34.7762016,Eunice Tailor Shop,tailor,,Mo-Su 08:00-19:00
9462604709,-0.1343017,34.742324,Mama Kyail Tailoring Shop,tailor,,"Mo-Fr,Su"
9462604713,-0.0794153,34.7678027,Antony Tailor Shop,tailor,,Mo-Sa 08:00-19:00
9462619419,-0.1131095,34.7659307,Suzy,tailor,,"Mo-Fr,Su 08:00-19:00"
9462619420,-0.1007601,34.7688561,Cynthia's Shop,chemist,,Mo-Su 09:00-18:00
9462619421,-0.1120069,34.7668604,Solomon Tailoring,tailor,,Mo-Sa 07:00-21:00
9462619422,-0.0791672,34.6938294,Achieng Tailoring,tailor,,Mo-Sa 08:00-18:00
9462619424,-0.0999834,34.7548276,Mayow Curtain Shop,tailor,,Mo-Su 08:00-18:00
9462619430,-0.0975787,34.7758929,Carol Designs,tailor,,"Mo-Th,Sa 08:00-20:00"
9462619432,-0.0712652,34.7812586,Princess Marcos,chemist,,"Mo,Tu,Fr sunset-sunrise open"
9462619434,-0.1500127,34.8251226,Ka Nyakisumo Tailoring,tailor,,Mo-Sa 09:00-19:00
